feature,importance,fold
X33-mean_gb_X33_bin,114.0,2
X33-min_gb_X33_bin,32.6,2
X33-max_gb_X33_bin,50.2,2
X33/sum_gb_X33_bin,18.4,2
X38-mean_gb_X33_bin,11.0,2
X38-min_gb_X33_bin,10.6,2
X38-max_gb_X33_bin,20.2,2
X38/sum_gb_X33_bin,18.2,2
yuyin_mean-mean_gb_X33_bin,58.6,2
yuyin_mean-min_gb_X33_bin,12.4,2
yuyin_mean-max_gb_X33_bin,87.4,2
yuyin_mean/sum_gb_X33_bin,40.6,2
liuliang_mean-mean_gb_X33_bin,23.4,2
liuliang_mean-min_gb_X33_bin,8.6,2
liuliang_mean-max_gb_X33_bin,32.6,2
liuliang_mean/sum_gb_X33_bin,23.4,2
baohe_mean-mean_gb_X33_bin,68.0,2
baohe_mean-min_gb_X33_bin,8.0,2
baohe_mean-max_gb_X33_bin,72.6,2
baohe_mean/sum_gb_X33_bin,51.0,2
X1,54.2,3
X2,218.8,3
X3,0.6,3
X4,1.6,3
X5,0.4,3
X6,208.2,3
X7,109.0,3
X8,140.6,3
X9,171.2,3
X10,117.8,3
X11,114.4,3
X12,159.8,3
X13,88.0,3
X14,107.2,3
X15,23.6,3
X16,13.0,3
X17,18.4,3
X18,44.2,3
X19,35.2,3
X20,46.6,3
X21,22.8,3
X22,11.4,3
X23,23.4,3
X24,0.0,3
X25,20.0,3
X26,0.6,3
X27,0.0,3
X28,0.6,3
X29,15.8,3
X30,6.6,3
X31,38.4,3
X32,15.6,3
X33,8.2,3
X34,118.4,3
X35,79.2,3
X36,67.8,3
X37,130.6,3
X38,16.0,3
X39,90.2,3
X40,4.4,3
X41,42.8,3
X42,7.0,3
X43,6.6,3
arpu_incre_1,229.0,3
arpu_incre_2,107.2,3
arpu_incre_3,79.6,3
arpu_rate_1,137.4,3
arpu_rate_2,73.6,3
arpu_rate_3,105.2,3
dou_incre_1,131.0,3
mou_incre_1,148.6,3
dangyue_arpu,144.6,3
dangyue_dou,183.0,3
dangyue_mou,228.2,3
mou_dou_1,104.8,3
taocan_arpu_1,177.8,3
taocan_arpu_2,118.4,3
yuyin_mean,8.8,3
liuliang_mean,7.8,3
yuyin_incre_1,72.2,3
liuliang_incre_1,32.2,3
baohe_mean,11.4,3
baohe_incre_1,102.4,3
dangyue_yuyin,74.8,3
liuliang_yuyin,26.0,3
dangyue_baohe,92.6,3
arpu_qushi,90.2,3
dou_qushi,187.0,3
mou_qushi,179.4,3
yuyin_qushi,87.2,3
liuliang_qushi,39.4,3
baohe_qushi,73.2,3
X38_flag,1.2,3
5G_num,68.6,3
X3_count,5.6,3
X5_count,2.2,3
X26_count,0.4,3
X33_bin_count,1.8,3
X4-mean_gb_X3,23.8,3
X4-min_gb_X3,3.4,3
X4-max_gb_X3,5.4,3
X4/sum_gb_X3,11.4,3
X15-mean_gb_X3,120.8,3
X15-min_gb_X3,62.0,3
X15-max_gb_X3,104.8,3
X15/sum_gb_X3,105.4,3
X16-mean_gb_X3,96.6,3
X16-min_gb_X3,45.4,3
X16-max_gb_X3,49.0,3
X16/sum_gb_X3,87.8,3
X17-mean_gb_X3,95.4,3
X17-min_gb_X3,45.0,3
X17-max_gb_X3,125.4,3
X17/sum_gb_X3,97.2,3
X32-mean_gb_X3,68.4,3
X32-min_gb_X3,22.4,3
X32-max_gb_X3,36.2,3
X32/sum_gb_X3,51.8,3
X33-mean_gb_X3,49.8,3
X33-min_gb_X3,14.4,3
X33-max_gb_X3,21.8,3
